ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG11729	Badnavirus	Genus	1592.3	1511.6
ViPhOG1988	Kostyavirus	Genus	365.8	283.3
ViPhOG7817	Mimivirus	Genus	199.1	187.0
ViPhOG19392	Pandoravirus	Genus	287.4	82.0
ViPhOG11572	Vequintavirus	Genus	255.0	235.5
ViPhOG21617	Perisivirus	Genus	167.5	111.8
ViPhOG8146	Mimivirus	Genus	332.2	198.9
ViPhOG23982	Emdodecavirus	Genus	86.2	58.3
ViPhOG1018	Betaarterivirus	Genus	255.4	nan
ViPhOG27615	Chlorovirus	Genus	331.4	254.5
ViPhOG4825	Phicbkvirus	Genus	467.9	421.5
ViPhOG6127	Kayvirus	Genus	185.2	181.2
ViPhOG1017	Betaarterivirus	Genus	134.6	121.0
ViPhOG10026	Bixzunavirus	Genus	1069.7	812.7
ViPhOG27718	Oshimavirus	Genus	272.7	244.1
ViPhOG17798	Cafeteriavirus	Genus	164.1	130.1
ViPhOG25045	Chlorovirus	Genus	173.2	106.2
ViPhOG24451	Cequinquevirus	Genus	458.1	158.8
ViPhOG24483	Cronusvirus	Genus	491.8	426.5
ViPhOG5738	Kostyavirus	Genus	414.5	167.9
ViPhOG30392	Erskinevirus	Genus	142.4	131.2
ViPhOG22400	Enhodamvirus	Genus	456.6	92.6
ViPhOG12713	Friunavirus	Genus	112.0	104.3
ViPhOG305	Orthohepevirus	Genus	100.6	51.6
ViPhOG28066	Klosneuvirus	Genus	1703.8	455.5
ViPhOG22901	Steinhofvirus	Genus	660.1	286.1
ViPhOG7664	Mimivirus	Genus	868.7	752.2
ViPhOG22900	Steinhofvirus	Genus	908.4	620.4
ViPhOG18686	Abouovirus	Genus	161.4	160.0
ViPhOG1236	Rubivirus	Genus	580.8	nan
ViPhOG24477	Phicbkvirus	Genus	332.6	289.8
ViPhOG29239	Alcyoneusvirus	Genus	404.3	315.2
ViPhOG10386	Firehammervirus	Genus	516.7	274.7
ViPhOG8106	Mimivirus	Genus	403.1	116.0
ViPhOG26979	Lessievirus	Genus	2438.4	1469.1
ViPhOG24482	Phicbkvirus	Genus	527.3	462.7
ViPhOG28082	Dhillonvirus	Genus	788.0	379.2
ViPhOG19256	Pandoravirus	Genus	316.7	176.9
ViPhOG18468	Slashvirus	Genus	545.6	400.7
ViPhOG29268	Popoffvirus	Genus	323.9	320.5
ViPhOG7211	Pithovirus	Genus	406.8	258.1
ViPhOG11717	Yokohamavirus	Genus	438.2	433.7
ViPhOG19234	Pandoravirus	Genus	447.0	109.2
ViPhOG15041	Prasinovirus	Genus	165.5	89.4
ViPhOG19448	Pandoravirus	Genus	488.0	153.4
ViPhOG20973	Tritimovirus	Genus	196.3	150.8
ViPhOG7946	Mimivirus	Genus	826.4	679.9
ViPhOG1034	Betaarterivirus	Genus	82.1	34.4
ViPhOG24478	Xiamenvirus	Genus	648.4	540.4
ViPhOG7299	Mimivirus	Genus	332.7	69.5
ViPhOG8283	Mimivirus	Genus	407.2	206.6
ViPhOG18995	Pandoravirus	Genus	280.7	151.5
ViPhOG2261	Whispovirus	Genus	216.0	153.2
ViPhOG7358	Mimivirus	Genus	248.3	227.0
ViPhOG18982	Pandoravirus	Genus	191.1	70.1
ViPhOG17547	Mimivirus	Genus	129.0	108.8
ViPhOG27033	Rauchvirus	Genus	874.7	862.6
ViPhOG25204	Chlorovirus	Genus	896.6	740.8
ViPhOG27926	Mieseafarmvirus	Genus	218.6	75.4
ViPhOG3327	Alphacoronavirus	Genus	70.9	nan
ViPhOG1	Pegivirus	Genus	76.0	66.2
ViPhOG615	Gallivirus	Genus	128.1	126.8
ViPhOG16395	Phicbkvirus	Genus	123.1	91.7
ViPhOG27148	Seunavirus	Genus	274.0	144.7
ViPhOG26466	Chenonavirus	Genus	106.0	99.8
ViPhOG8450	Megalocytivirus	Genus	395.6	186.8
ViPhOG3384	Avipoxvirus	Genus	521.8	324.8
ViPhOG22005	Corndogvirus	Genus	135.8	110.1
ViPhOG17374	Mimivirus	Genus	347.6	283.2
ViPhOG7532	Mimivirus	Genus	261.8	212.5
ViPhOG1021	Betaarterivirus	Genus	79.0	nan
ViPhOG27364	Dhillonvirus	Genus	154.6	142.6
ViPhOG27228	Phicbkvirus	Genus	255.0	192.8
ViPhOG26009	Lightbulbvirus	Genus	431.7	308.7
ViPhOG19022	Pandoravirus	Genus	232.2	125.5
ViPhOG23744	Emdodecavirus	Genus	71.4	58.7
ViPhOG891	Salasvirus	Genus	666.1	614.2
ViPhOG1038	Dyoepsilonpapillomavirus	Genus	179.9	171.5
ViPhOG20562	Corndogvirus	Genus	423.6	283.9
ViPhOG2537	Capripoxvirus	Genus	1307.1	1293.4
ViPhOG8697	Pecentumvirus	Genus	131.5	96.5
ViPhOG13972	Omegavirus	Genus	454.1	409.5
ViPhOG7958	Mimivirus	Genus	374.1	325.4
ViPhOG14018	Omegavirus	Genus	113.4	99.9
ViPhOG27384	Yuavirus	Genus	212.8	102.3
ViPhOG5550	Klosneuvirus	Genus	2526.7	768.1
ViPhOG29100	Certrevirus	Genus	289.6	241.7
ViPhOG16501	Becurtovirus	Genus	212.9	54.6
ViPhOG27341	Rotavirus	Genus	55.0	37.9
ViPhOG8213	Mimivirus	Genus	365.2	125.2
ViPhOG18712	Nonagvirus	Genus	120.2	119.6
ViPhOG23501	Titanvirus	Genus	714.0	353.1
ViPhOG3031	Firehammervirus	Genus	811.9	753.9
ViPhOG2957	Salasvirus	Genus	514.0	362.5
ViPhOG19594	Pandoravirus	Genus	459.6	280.3
ViPhOG30006	Phicbkvirus	Genus	294.2	88.2
ViPhOG19589	Pandoravirus	Genus	244.0	97.1
ViPhOG2024	Roymovirus	Genus	206.3	197.3
ViPhOG16069	Caeruleovirus	Genus	228.5	227.6
ViPhOG3809	Asfivirus	Genus	172.4	165.2
ViPhOG8696	Certrevirus	Genus	308.2	307.7
ViPhOG7884	Mimivirus	Genus	223.9	92.2
ViPhOG19214	Pandoravirus	Genus	316.8	97.0
ViPhOG8132	Mimivirus	Genus	332.8	94.6
ViPhOG16935	Septimatrevirus	Genus	486.6	472.7
ViPhOG11381	Phifelvirus	Genus	186.6	184.1
ViPhOG3871	Asfivirus	Genus	158.4	99.5
ViPhOG10985	Bixzunavirus	Genus	194.3	135.0
ViPhOG8183	Mimivirus	Genus	132.2	122.4
ViPhOG18796	Lightbulbvirus	Genus	335.8	206.1
ViPhOG16752	Certrevirus	Genus	207.9	204.7
ViPhOG129	Cytomegalovirus	Genus	1215.3	1179.0
ViPhOG23688	Vequintavirus	Genus	204.4	57.3
ViPhOG22895	Septimatrevirus	Genus	924.8	807.8
ViPhOG745	Pestivirus	Genus	76.7	nan
ViPhOG4438	Tulanevirus	Genus	181.6	181.4
ViPhOG7466	Mimivirus	Genus	513.7	383.8
ViPhOG12040	Bruynoghevirus	Genus	245.0	242.3
ViPhOG20312	Marseillevirus	Genus	323.7	51.9
ViPhOG5859	Dhillonvirus	Genus	204.5	167.7
ViPhOG25668	Betaentomopoxvirus	Genus	233.7	188.7
ViPhOG3374	Alphatectivirus	Genus	264.1	254.0
ViPhOG1352	Alphavirus	Genus	104.2	36.2
ViPhOG15019	Prasinovirus	Genus	606.7	484.1
ViPhOG7217	Mimivirus	Genus	262.6	231.1
ViPhOG8265	Mimivirus	Genus	258.2	142.7
ViPhOG25702	Avipoxvirus	Genus	390.6	355.4
ViPhOG7079	Mimivirus	Genus	621.1	123.8
ViPhOG22711	Homburgvirus	Genus	177.0	166.0
ViPhOG10363	Firehammervirus	Genus	295.9	240.5
ViPhOG8446	Megalocytivirus	Genus	195.6	180.5
ViPhOG17343	Mimivirus	Genus	450.3	337.6
ViPhOG18787	Cbastvirus	Genus	646.6	215.6
ViPhOG12196	Prasinovirus	Genus	172.7	141.4
ViPhOG7381	Mimivirus	Genus	493.5	317.9
ViPhOG25836	Betaentomopoxvirus	Genus	235.0	144.3
ViPhOG7929	Mimivirus	Genus	482.7	460.8
ViPhOG30210	Homburgvirus	Genus	195.7	188.2
ViPhOG15435	Mimivirus	Genus	590.0	142.0
ViPhOG193	Hepacivirus	Genus	43.6	40.7
ViPhOG7235	Mimivirus	Genus	96.6	91.1
ViPhOG12415	Fishburnevirus	Genus	84.3	83.7
ViPhOG10787	Megalocytivirus	Genus	108.6	103.1
ViPhOG11163	Kostyavirus	Genus	430.1	408.0
ViPhOG24525	Radnorvirus	Genus	194.5	192.0
ViPhOG21987	Corndogvirus	Genus	290.6	157.8
ViPhOG18501	Siminovitchvirus	Genus	203.6	168.4
ViPhOG15135	Mimivirus	Genus	289.7	225.3
ViPhOG20378	Chloriridovirus	Genus	386.7	382.3
ViPhOG8138	Mimivirus	Genus	842.2	533.4
ViPhOG10222	Skunavirus	Genus	163.5	69.4
ViPhOG7970	Mimivirus	Genus	386.7	339.1
ViPhOG16937	Cbastvirus	Genus	218.7	218.0
ViPhOG1922	Detrevirus	Genus	209.4	199.8
ViPhOG20873	Dhakavirus	Genus	314.5	281.4
ViPhOG11655	Bequatrovirus	Genus	482.2	471.8
ViPhOG18795	Perisivirus	Genus	412.7	159.4
